plant,molecules
Oroxylum indicum,"Flavanone, 5,7-dihydroxy-6-methoxy-"
Oroxylum indicum,Scutellarin
Oroxylum indicum,Oroxylin A
Oroxylum indicum,Nepetin
Oroxylum indicum,6-Hydroxyluteolin
Oroxylum indicum,Chrysin
Oroxylum indicum,Baicalein
Oroxylum indicum,Dihydrobaicalein
Oroxylum indicum,Scutellarein 7-rutinoside
Oroxylum indicum,"Apigenin 7,4'-dimethyl ether"
Oroxylum indicum,4-Hydroxycinnamic acid
Oroxylum indicum,Scutellarein
Oroxylum indicum,beta-Sitosterol
Oroxylum indicum,Aloe emodin
Oroxylum indicum,Baicalin
Oroxylum indicum,Anthraquinone
Oroxylum indicum,Oroxindin
Oroxylum indicum,Hispidulin
Oroxylum indicum,Ellagic acid
Oroxylum indicum,Dimethyl terephthalate
Oroxylum indicum,biochanin A
Oroxylum indicum,Myristic acid
Oroxylum indicum,Lauric acid
Oroxylum indicum,Octanoic acid
Oroxylum indicum,Stearic acid
Oroxylum indicum,Baicalein 6-glucoside
Oroxylum indicum,Palmitic acid
Oroxylum indicum,gamma-Tocopherol
Oroxylum indicum,Palmitoleic acid
Oroxylum indicum,Oleic acid
Oroxylum indicum,Linoleic acid
Oroxylum indicum,"5,7-Dihydroxy-2-phenyl-6-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one"
Oroxylum indicum,Prunetin
