plant,diseases
Gmelina arborea,Antiviral agents
Gmelina arborea,Anti-bacterial agents
Gmelina arborea,Antidotes
Gmelina arborea,Anti-inflammatory agents
Gmelina arborea,Antioxidants
Gmelina arborea,Antipyretics
Gmelina arborea,Antirheumatic agents
Gmelina arborea,Appetite stimulants
Gmelina arborea,Arthralgia
Gmelina arborea,Asthma
Gmelina arborea,Cough
Gmelina arborea,Dandruff
Gmelina arborea,Demulcents
Gmelina arborea,Dysentery
Gmelina arborea,Dyspepsia
Gmelina arborea,Edema
Gmelina arborea,Facial paralysis
Gmelina arborea,Fatigue
Gmelina arborea,Fever
Gmelina arborea,"Fractures, bone"
Gmelina arborea,Furunculosis
Gmelina arborea,Hematologic diseases
Gmelina arborea,Hemorrhage
Gmelina arborea,Hemorrhoids
Gmelina arborea,Hypoglycemic agents
Gmelina arborea,Inflammation
Gmelina arborea,Insect bites and stings
Gmelina arborea,Labor pain
Gmelina arborea,Laxatives
Gmelina arborea,Liver diseases
Gmelina arborea,Malaria
Gmelina arborea,Pain
Gmelina arborea,Pharyngitis
Gmelina arborea,General tonic for rejuvenation
Gmelina arborea,Scorpion stings
Gmelina arborea,Stomach diseases
Gmelina arborea,Thirst
Gmelina arborea,Tuberculosis
Gmelina arborea,Vertigo
Gmelina arborea,Astringents
Gmelina arborea,Bites and stings
Gmelina arborea,Gonorrhea
Gmelina arborea,Hypertension
Gmelina arborea,Leprosy
Gmelina arborea,Skin diseases
Gmelina arborea,Hair loss
Gmelina arborea,Anemia
Gmelina arborea,Aphrodisiacs
Gmelina arborea,Cathartics
Gmelina arborea,Constipation
Gmelina arborea,Diuretics
Gmelina arborea,Dysuria
Gmelina arborea,Emaciation
Gmelina arborea,"Genital diseases, female"
Gmelina arborea,Heart diseases
Gmelina arborea,Leukorrhea
Gmelina arborea,Lung diseases
Gmelina arborea,Metabolism
Gmelina arborea,Ulcer
Gmelina arborea,Urination disorders
Gmelina arborea,Urologic diseases
Gmelina arborea,Urticaria
Gmelina arborea,Vaginal diseases
Gmelina arborea,Vaginitis
Gmelina arborea,Vomiting
Gmelina arborea,Wounds and injuries
Gmelina arborea,Cooling effect on body
Gmelina arborea,Anthelmintics
Gmelina arborea,Antimutagenic agents
Gmelina arborea,Common cold
Gmelina arborea,Flatulence
Gmelina arborea,Headache
Gmelina arborea,Lice infestations
Gmelina arborea,Snake bites
Gmelina arborea,Wound healing
Gmelina arborea,Abdominal pain
Gmelina arborea,Immunostimulant
Gmelina arborea,Analgesics
Gmelina arborea,Angiotensin-converting enzyme inhibitors
Gmelina arborea,Digestive system diseases
Gmelina arborea,Erectile dysfunction
Gmelina arborea,Galactogogues
Gmelina arborea,Gout
Gmelina arborea,Hallucinations
Gmelina arborea,Mouth diseases
Gmelina arborea,Premature ejaculation
Gmelina arborea,Hemagglutination
Gmelina arborea,Epilepsy
Gmelina arborea,Cachexia
Gmelina arborea,Anti-poisoning
Gmelina arborea,Alcoholic intoxication
Gmelina arborea,Anticonvulsants
Gmelina arborea,Brain diseases
Gmelina arborea,Bronchitis
Gmelina arborea,Cardiotonic agents
Gmelina arborea,Cholera
Gmelina arborea,Colic
Gmelina arborea,Delirium
Gmelina arborea,Diarrhea
Gmelina arborea,Dizziness
Gmelina arborea,Kidney calculi
Gmelina arborea,Memory disorders
Gmelina arborea,Myiasis
Gmelina arborea,Nervous system diseases
Gmelina arborea,Nootropic agents
Gmelina arborea,Obesity
Gmelina arborea,Puerperal disorders
Gmelina arborea,Rinderpest
Gmelina arborea,Sepsis
Gmelina arborea,Smallpox
Gmelina arborea,Splenic diseases
Gmelina arborea,Syphilis
Gmelina arborea,Tongue diseases
Gmelina arborea,"Tuberculosis, pulmonary"
Gmelina arborea,Lip diseases
Gmelina arborea,Rheumatoid arthritis
