plant,molecules
Gmelina arborea,"3H-Naphtho(1,8-bc)furan-3,8(4H)-dione, 5,5a,6,7-tetrahydro-7-methyl-5-(1-methylethyl)-, (5R,5aR,7S)-"
Gmelina arborea,Paulownin
Gmelina arborea,"(3S,3aalpha,6aalpha)-3alpha,6alpha-Bis(1,3-benzodioxole-5-yl)tetrahydro-1H,3H-furo[3,4-c]furan-1-ol"
Gmelina arborea,"(3S,3aS,6S,6aR)-3,6-bis(1,3-benzodioxol-5-yl)-1,4,6,6a-tetrahydrofuro[3,4-c]furan-3,3a-diol"
Gmelina arborea,Isoarboreol
Gmelina arborea,Gmelanone
Gmelina arborea,Gmelinol
Gmelina arborea,"3,6-Bis(benzo[d][1,3]dioxol-5-yl)tetrahydro-1H,3H-furo[3,4-c]furan-1,4-diol"
Gmelina arborea,1-Octacosanol
Gmelina arborea,Gummadiol
Gmelina arborea,Arborone
Gmelina arborea,4-Hydroxycinnamic acid
Gmelina arborea,beta-Sitosterol
Gmelina arborea,(-)-Paulownin
Gmelina arborea,Hexadecane
Gmelina arborea,Isobutyl butyrate
Gmelina arborea,Octanal
Gmelina arborea,Isovaleric acid
Gmelina arborea,1-Heptadecanol
Gmelina arborea,3-Octanol
Gmelina arborea,Heptacosane
Gmelina arborea,Octadecane
Gmelina arborea,Methyl salicylate
Gmelina arborea,1-Hexacosene
Gmelina arborea,Octanoic acid
Gmelina arborea,Ethyl hexanoate
Gmelina arborea,Methyl tetradecanoate
Gmelina arborea,Nonanal
Gmelina arborea,Eugenol
Gmelina arborea,"2,4-Decadienal"
Gmelina arborea,2-Nonenal
Gmelina arborea,2-Decenal
Gmelina arborea,d-Tartaric acid
Gmelina arborea,Hexyl butyrate
Gmelina arborea,1-Octen-3-OL
Gmelina arborea,2-Methylbutyl 2-methylbutyrate
Gmelina arborea,2-Methylbutyl butyrate
Gmelina arborea,2-Undecenal
Gmelina arborea,2-Octenal
Gmelina arborea,Ethyl butyrate
Gmelina arborea,Hexanal
Gmelina arborea,Ethyl benzoate
Gmelina arborea,Methyl benzoate
Gmelina arborea,Eicosane
Gmelina arborea,Methyl palmitate
Gmelina arborea,1-Dodecanol
Gmelina arborea,1-Hexanol
Gmelina arborea,Heptanal
Gmelina arborea,Nonan-1-ol
Gmelina arborea,Palmitic acid
Gmelina arborea,Hexadecanal
Gmelina arborea,1-Octanol
Gmelina arborea,Butyl butyrate
Gmelina arborea,Ethyl octanoate
Gmelina arborea,4-Ethyl-2-methoxyphenol
Gmelina arborea,Tetracosane
Gmelina arborea,Docosanol
Gmelina arborea,Hexacosane
Gmelina arborea,Heptadecane
Gmelina arborea,Nonadecane
Gmelina arborea,Docosane
Gmelina arborea,Pentacosane
Gmelina arborea,Heneicosane
Gmelina arborea,Pentadecane
Gmelina arborea,Octacosane
Gmelina arborea,Nonacosane
Gmelina arborea,Tricosane
Gmelina arborea,Ethyl palmitate
Gmelina arborea,Heptadecanal
Gmelina arborea,1-Heptanol
Gmelina arborea,Octadecanal
Gmelina arborea,Benzaldehyde
Gmelina arborea,Ethyl isovalerate
Gmelina arborea,Ethyl tetradecanoate
Gmelina arborea,Eucalyptol
Gmelina arborea,beta-Elemene
Gmelina arborea,Butyric acid
Gmelina arborea,1-Eicosene
Gmelina arborea,1-Heptadecene
Gmelina arborea,Phenethyl isovalerate
Gmelina arborea,Ethyl salicylate
Gmelina arborea,cis-3-Hexen-1-ol
Gmelina arborea,cis-3-Hexenyl benzoate
Gmelina arborea,cis-3-Hexenyl acetate
Gmelina arborea,(+)-delta-Cadinene
Gmelina arborea,Linalool
Gmelina arborea,Nonanoic acid
Gmelina arborea,alpha-Terpineol
Gmelina arborea,alpha-Calacorene
Gmelina arborea,Saccharin
Gmelina arborea,2-Tetradecenal
Gmelina arborea,1-Tricosene
Gmelina arborea,1-Pentacosene
Gmelina arborea,1-Heneicosene
Gmelina arborea,"(E,Z)-2,4-Decadienal"
Gmelina arborea,(E)-beta-ocimene
Gmelina arborea,Ethyl octadec-9-enoate
Gmelina arborea,Geraniol
Gmelina arborea,1-Octacosene
Gmelina arborea,1-Tetracosene
Gmelina arborea,2-Methylbutyl isovalerate
Gmelina arborea,9-Hexacosene
