molecules,SMILES,plant,Dataset_Name
"Flavanone, 5,7-dihydroxy-6-methoxy-",COc1c(O)cc2c(c1O)C(=O)C[C@H](O2)c1ccccc1,Oroxylum indicum,A1
Scutellarin,OC(=O)[C@H]1O[C@@H](Oc2cc3oc(cc(=O)c3c(c2O)O)c2ccc(cc2)O)[C@@H]([C@H]([C@@H]1O)O)O,Oroxylum indicum,A1
Oroxylin A,COc1c(O)cc2c(c1O)c(=O)cc(o2)c1ccccc1,Oroxylum indicum,A1
Nepetin,COc1c(O)cc2c(c1O)c(=O)cc(o2)c1ccc(c(c1)O)O,Oroxylum indicum,A1
6-Hydroxyluteolin,Oc1ccc(cc1O)c1cc(=O)c2c(o1)cc(c(c2O)O)O,Oroxylum indicum,A1
Chrysin,Oc1cc(O)c2c(c1)oc(cc2=O)c1ccccc1,Oroxylum indicum,A1
Baicalein,Oc1cc2oc(cc(=O)c2c(c1O)O)c1ccccc1,Oroxylum indicum,A1
Dihydrobaicalein,O=C1CC(Oc2c1c(O)c(c(c2)O)O)c1ccccc1,Oroxylum indicum,A1
Scutellarein 7-rutinoside,OC1[C@@H](OC([C@H]([C@@H]1O)O)CO[C@@H]1OC(C)[C@@H]([C@@H](C1O)O)O)Oc1cc2oc(cc(=O)c2c(c1O)O)c1ccc(cc1)O,Oroxylum indicum,A1
"Apigenin 7,4'-dimethyl ether",COc1ccc(cc1)c1cc(=O)c2c(o1)cc(cc2O)OC,Oroxylum indicum,A1
4-Hydroxycinnamic acid,OC(=O)/C=C/c1ccc(cc1)O,Gmelina arborea,A5
Scutellarein,Oc1ccc(cc1)c1cc(=O)c2c(o1)cc(c(c2O)O)O,Stereospermum chelonoides,A3
beta-Sitosterol,CC[C@@H](C(C)C)CC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H](C2)O)C,Tribulus terrestris,A9
Aloe emodin,OCc1cc(O)c2c(c1)C(=O)c1c(C2=O)c(O)ccc1,Oroxylum indicum,A1
